consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import,load
1.669,484.37,2e-05,3.006,1.9,0.146,2e-06,3.3835300000000004,5.052530000000001
1.668,484.17,1e-05,2.976,1.754,0.15,7e-06,3.2121500000000003,4.88015
1.678,488.08,1e-05,3.079,1.747,0.151,1e-06,3.29921,4.9772099999999995
1.714,499.91,1e-05,3.334,1.746,0.15,0.0,3.5165300000000004,5.23053
1.818,523.48,0.0,4.38,1.654,0.158,2e-06,4.37366,6.191660000000001
1.903,534.69,0.0,5.45,1.495,0.164,6e-06,5.20742,7.1104199999999995
1.942,541.38,0.0,5.618,1.308,0.16,5e-06,5.14337,7.08537
1.965,547.35,0.0,5.685,1.263,0.155,1e-06,5.1380799999999995,7.103079999999999
1.979,550.85,0.0,5.775,1.243,0.179,6e-06,5.217560000000001,7.196560000000001
1.951,545.5,1e-05,5.738,1.222,0.193,2.2e-05,5.20132,7.15232
1.942,532.43,0.0,5.638,1.106,0.171,3.4e-05,4.97378,6.91578
1.923,530.99,0.0,5.492,1.018,0.18,2.7e-05,4.76693,6.68993
1.904,529.03,0.0,5.366,0.957,0.175,5e-06,4.59354,6.49754
1.913,531.92,0.0,5.419,0.997,0.172,1e-06,4.67504,6.58804
1.942,541.18,0.0,5.421,0.976,0.17,0.0,4.62498,6.56698
1.941,548.9,0.0,5.411,0.851,0.161,1e-06,4.48234,6.42334
1.89,543.44,0.0,5.269,0.775,0.165,1e-06,4.3185,6.2085
1.85,532.94,1e-05,5.012,0.739,0.162,0.0,4.06353,5.91353
1.81,525.23,1e-05,4.552,0.661,0.158,1e-06,3.5613699999999997,5.37137
1.767,519.16,0.0,4.104,0.532,0.15,0.0,3.01867,4.78567
1.713,512.36,1e-05,3.573,0.47,0.143,3e-06,2.47299,4.18599
1.68,504.44,2e-05,3.037,0.401,0.141,4e-06,1.89856,3.57856
1.654,496.28,0.0,2.485,0.342,0.135,0.0,1.30793,2.9619299999999997
1.637,487.05,1e-05,2.355,0.295,0.13,0.0,1.14312,2.78012
1.633,483.67,2e-05,2.349,0.245,0.138,2e-06,1.09953,2.7325299999999997
1.642,481.72,4e-05,2.318,0.181,0.134,2e-06,0.99107,2.63307
1.645,481.82,7.000000000000001e-05,2.45,0.153,0.135,0.0,1.09344,2.7384399999999998
1.654,485.1,1e-05,2.653,0.137,0.145,1e-06,1.28135,2.9353499999999997
1.697,487.77,7.000000000000001e-05,3.376,0.131,0.14,1e-06,1.9501199999999999,3.64712
1.726,494.23,7.000000000000001e-05,3.8,0.141,0.154,0.0,2.36952,4.0955200000000005
1.777,512.37,5.9999999999999995e-05,4.197,0.164,0.155,4e-06,2.73942,4.51642
1.816,519.95,2e-05,4.527,0.159,0.155,1.2e-05,3.0257899999999998,4.84179
1.855,522.0,4e-05,5.072,0.195,0.16,2.9999999999999997e-05,3.57244,5.42744
1.859,522.92,5.9999999999999995e-05,5.36,0.235,0.158,3.9e-05,3.89465,5.75365
1.854,526.41,7.000000000000001e-05,5.459,0.321,0.158,3.5999999999999994e-05,4.08403,5.93803
1.847,530.3,1e-05,5.437,0.428,0.159,2.5e-05,4.17749,6.02449
1.871,532.15,1e-05,5.445,0.521,0.164,1e-05,4.25989,6.130890000000001
1.925,545.47,4e-05,5.588,0.629,0.168,5e-06,4.46093,6.38593
1.956,566.38,0.0,5.876,0.687,0.167,2e-06,4.77408,6.730079999999999
1.961,572.63,0.0,6.001,0.682,0.167,5e-06,4.88858,6.8495800000000004
1.916,566.38,0.0,5.904,0.654,0.171,8e-06,4.81316,6.72916
1.874,551.42,2e-05,5.852,0.611,0.165,5e-06,4.75429,6.62829
1.834,540.66,1e-05,5.428,0.544,0.153,0.0,4.29116,6.125159999999999
1.799,531.94,0.0,5.003,0.592,0.151,1e-06,3.9472199999999997,5.746219999999999
1.766,524.05,1e-05,4.384,0.647,0.153,0.0,3.41738,5.18338
1.727,514.62,2.9999999999999997e-05,3.624,0.686,0.148,0.0,2.73024,4.45724
1.693,513.76,0.0,3.245,0.71,0.155,1e-06,2.41676,4.10976
1.672,500.89,1e-05,2.991,0.728,0.154,0.0,2.2005,3.8724999999999996
1.665,498.64,0.0,3.013,0.836,0.151,0.0,2.33604,4.00104
1.662,497.11,5e-05,2.941,0.929,0.15,0.0,2.35769,4.01969
1.668,488.52,2e-05,3.002,1.018,0.158,0.0,2.5093,4.1773
1.683,497.72,0.0,3.104,1.096,0.167,0.0,2.68348,4.36648
1.714,504.46,1e-05,3.442,1.239,0.174,0.0,3.14027,4.85427
1.743,507.22,7.000000000000001e-05,3.831,1.242,0.177,0.0,3.50594,5.24894
1.79,515.29,2e-05,4.29,1.226,0.183,0.0,3.90908,5.69908
1.816,527.96,0.0,4.762,1.305,0.159,3e-06,4.41024,6.22624
1.851,534.8,2e-05,5.258,1.459,0.146,1.4999999999999999e-05,5.01255,6.86355
1.88,539.09,2.9999999999999997e-05,5.327,1.502,0.145,3.1e-05,5.09357,6.97357
1.883,540.01,0.0,5.113,1.498,0.142,5.5e-05,4.87038,6.75338
1.873,535.72,0.0,5.094,1.362,0.139,3.2e-05,4.722689999999999,6.595689999999999
1.868,526.32,0.0,5.171,1.456,0.137,5e-06,4.89642,6.76442
1.904,526.83,0.0,5.249,1.459,0.137,0.0,4.940930000000001,6.844930000000001
1.938,544.3,0.0,5.226,1.472,0.137,1e-06,4.89786,6.835859999999999
1.924,545.63,0.0,5.012,1.455,0.138,6e-06,4.68102,6.60502
1.891,542.36,0.0,5.139,1.567,0.139,8.999999999999999e-06,4.95427,6.84527
1.845,537.56,0.0,5.102,1.733,0.138,1.4e-05,5.12837,6.97337
1.796,530.72,0.0,5.11,1.715,0.138,1e-05,5.1665,6.9625
1.764,526.83,1e-05,4.781,1.793,0.137,5e-06,4.946770000000001,6.710770000000001
1.721,518.05,0.0,4.42,1.811,0.129,8e-06,4.638979999999999,6.359979999999999
1.673,510.18,0.0,3.761,1.762,0.126,7e-06,3.97609,5.64909
1.637,496.7,0.0,2.991,1.707,0.121,2e-06,3.18145,4.81845
1.626,490.16,0.0,2.859,1.617,0.119,4e-06,2.96963,4.59563
1.625,488.73,0.0,2.754,1.509,0.121,4e-06,2.75984,4.3848400000000005
1.637,479.74,0.0,2.693,1.462,0.127,0.0,2.64486,4.28186
1.675,491.28,1e-05,2.9,1.343,0.134,0.0,2.7017800000000003,4.37678
1.738,509.47,0.0,3.47,1.179,0.139,0.0,3.0502,4.7882
1.857,538.79,1e-05,4.595,1.093,0.148,0.0,3.97959,5.83659
1.978,540.93,0.0,5.461,1.183,0.155,0.0,4.82046,6.7984599999999995
2.011,545.94,0.0,5.428,1.121,0.156,0.0,4.6938699999999995,6.70487
2.012,546.04,0.0,5.473,1.054,0.154,3e-06,4.66996,6.68196
2.029,546.45,0.0,5.443,0.982,0.153,1.7999999999999997e-05,4.548649999999999,6.577649999999999
2.035,547.78,0.0,5.505,1.023,0.15,4.4999999999999996e-05,4.64339,6.67839
2.033,548.29,0.0,5.774,0.909,0.148,6.4e-05,4.79818,6.83118
1.976,550.23,0.0,5.797,0.826,0.149,2.3e-05,4.796069999999999,6.772069999999999
2.087,548.9,0.0,5.8,0.774,0.154,4e-06,4.64146,6.72846
2.153,544.0,0.0,5.994,0.718,0.157,0.0,4.71706,6.8700600000000005
2.144,544.1,0.0,6.034,0.661,0.158,0.0,4.7083900000000005,6.852390000000001
2.11,541.44,0.0,6.037,0.472,0.158,4e-06,4.55779,6.66779
2.048,524.28,0.0,5.791,0.366,0.156,2e-06,4.26426,6.31226
2.019,519.89,0.0,5.37,0.303,0.154,0.0,3.80809,5.82709
1.979,516.92,0.0,5.071,0.271,0.155,6e-06,3.5179899999999997,5.49699
1.953,511.1,0.0,4.711,0.223,0.154,7e-06,3.13551,5.08851
1.917,501.7,0.0,4.236,0.171,0.151,6e-06,2.6406799999999997,4.5576799999999995
1.833,477.59,0.0,3.561,0.142,0.147,1e-06,2.01693,3.8499299999999996
1.784,480.17,1e-05,3.058,0.158,0.148,2e-06,1.58035,3.36435
1.757,474.03,0.0,3.054,0.199,0.15,1e-06,1.64714,3.40414
1.748,473.01,1e-05,3.087,0.242,0.153,0.0,1.73344,3.48144
1.739,473.42,1e-05,3.236,0.326,0.154,0.0,1.9767000000000001,3.7157
1.75,477.71,0.0,3.47,0.461,0.158,1e-06,2.3395,4.0895
1.812,489.58,1e-05,3.505,0.571,0.156,0.0,2.42009,4.23209
1.947,512.29,1e-05,4.42,0.796,0.158,0.0,3.42752,5.37452
2.03,524.87,0.0,5.741,0.985,0.16,3e-06,4.85673,6.88673
2.046,528.86,0.0,6.017,1.09,0.163,2e-06,5.22333,7.26933
2.041,526.61,0.0,6.115,1.184,0.162,6e-06,5.42039,7.46139
2.045,526.61,0.0,6.1,1.23,0.164,6e-06,5.44886,7.49386
2.065,523.85,0.0,5.966,1.344,0.165,1.1e-05,5.41042,7.47542
2.065,520.47,0.0,5.568,1.483,0.166,8.999999999999999e-06,5.15149,7.21649
2.071,517.91,0.0,5.636,1.572,0.166,6e-06,5.30366,7.37466
2.101,518.63,0.0,5.598,1.63,0.166,1e-06,5.29262,7.39362
2.165,518.53,0.0,5.688,1.693,0.166,0.0,5.38189,7.54689
2.158,523.23,0.0,5.736,1.704,0.164,0.0,5.44658,7.60458
2.147,522.21,0.0,5.747,1.742,0.165,0.0,5.5059700000000005,7.65297
2.109,517.81,0.0,5.466,1.814,0.166,0.0,5.33755,7.44655
2.071,511.27,0.0,5.18,1.821,0.165,0.0,5.0934,7.1644000000000005
2.028,508.5,0.0,4.99,1.848,0.162,0.0,4.97146,6.999460000000001
2.007,506.25,1e-05,4.457,1.871,0.159,0.0,4.48062,6.48762
1.969,501.55,1e-05,3.86,1.856,0.158,0.0,3.90508,5.87408
1.903,475.16,0.0,3.265,1.9,0.156,2e-06,3.41854,5.321540000000001
1.857,465.59,1e-05,2.597,1.87,0.154,1e-06,2.76491,4.62191
1.834,451.95,0.0,2.363,1.893,0.155,0.0,2.57682,4.41082
1.821,446.46,0.0,2.281,1.87,0.156,0.0,2.48499,4.3059899999999995
1.83,447.07,1e-05,2.263,1.904,0.157,0.0,2.4947399999999997,4.32474
1.856,463.55,0.0,2.477,1.831,0.157,0.0,2.60958,4.46558
1.957,488.79,1e-05,3.058,1.795,0.161,0.0,3.05687,5.01387
2.064,503.34,1e-05,4.314,1.74,0.164,0.0,4.15466,6.21866
2.163,516.37,0.0,5.034,1.744,0.168,0.0,4.78194,6.944939999999999
2.17,518.81,0.0,5.445,1.663,0.167,0.0,5.10468,7.27468
2.1,518.41,0.0,5.51,1.644,0.167,8e-06,5.22027,7.320270000000001
