consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import
"-2,084","517,8",0.00,5744,1209,163,0.007,5032.15
"-2,161","523,29",0.00,5968,1194,167,0.000,5166.77
"-2,17","546,39",0.00,6115,1164,162,0.000,5270.56
"-2,149","555,55",0.00,6106,1059,171,0.007,5187.38
"-2,101","551,48",0.00,6031,1002,189,0.005,5120.30
"-2,082","551,48",0.01,5986,874,193,0.007,4971.92
"-2,046","539,17",0.01,5920,727,196,0.006,4796.40
"-2,02","525,94",0.00,5533,665,195,0.008,4373.06
"-1,971","518,61",0.00,4855,550,187,0.005,3620.03
"-1,911","508,43",0.00,4162,439,192,0.000,2880.90
"-1,893","516,43",0.01,4005,380,191,0.002,2682.93
"-1,879","511,02",0.00,4048,434,191,0.000,2794.26
"-1,88","506,62",0.01,3851,526,186,0.000,2682.41
"-1,894","511,02",0.00,3814,578,182,0.000,2680.88
"-1,933","510,61",0.01,4048,721,174,0.000,3010.20
"-2,005","530,65",0.00,4721,1036,174,0.000,3926.87
"-2,123","518,68",0.01,5284,1372,178,0.000,4711.32
"-2,223","515,62",0.00,5539,1639,172,0.000,5126.93
"-2,242","516,95",0.00,5287,1698,171,0.000,4914.87
"-2,212","515,82",0.00,5310,1739,191,0.003,5028.80
"-2,191","513,67",0.00,5294,1760,234,0.009,5096.71
"-2,165","513,47",0.00,5246,1751,256,0.014,5087.21
"-2,124","512,34",0.00,5180,1728,259,0.009,5042.81
"-2,108","512,55",0.00,5226,1725,261,0.006,5105.01
"-2,121","511,42",0.00,5232,1660,256,0.001,5027.00
"-2,16","510,81",0.00,5257,1679,226,0.000,5002.08
"-2,138","509,89",0.00,5210,1751,160,0.000,4983.63
"-2,123","510,5",0.00,5126,1837,156,0.000,4995.68
"-2,06","510,4",0.00,5063,1948,150,0.001,5101.06
"-2,019","509,99",0.00,5007,1966,151,0.004,5105.33
"-1,984","510,2",0.01,4728,1969,150,0.008,4862.81
"-1,936","512,65",0.00,4368,1903,127,0.003,4462.40
"-1,889","511,12",0.02,3818,1906,115,0.004,3949.78
